tensor(0.7001, grad_fn=<MseLossBackward0>) tensor(0.0126, grad_fn=<MseLossBackward0>)
tensor(0.6805, grad_fn=<MseLossBackward0>) tensor(0.0119, grad_fn=<MseLossBackward0>)
tensor(0.6231, grad_fn=<MseLossBackward0>) tensor(0.0091, grad_fn=<MseLossBackward0>)
tensor(0.6166, grad_fn=<MseLossBackward0>) tensor(0.0166, grad_fn=<MseLossBackward0>)
tensor(0.6204, grad_fn=<MseLossBackward0>) tensor(0.0091, grad_fn=<MseLossBackward0>)
tensor(0.6733, grad_fn=<MseLossBackward0>) tensor(0.0097, grad_fn=<MseLossBackward0>)
tensor(0.6356, grad_fn=<MseLossBackward0>) tensor(0.0110, grad_fn=<MseLossBackward0>)
tensor(0.6835, grad_fn=<MseLossBackward0>) tensor(0.0108, grad_fn=<MseLossBackward0>)
tensor(0.6353, grad_fn=<MseLossBackward0>) tensor(0.0073, grad_fn=<MseLossBackward0>)
tensor(0.6699, grad_fn=<MseLossBackward0>) tensor(0.0072, grad_fn=<MseLossBackward0>)
tensor(0.6507, grad_fn=<MseLossBackward0>) tensor(0.0110, grad_fn=<MseLossBackward0>)
tensor(0.6278, grad_fn=<MseLossBackward0>) tensor(0.0131, grad_fn=<MseLossBackward0>)
tensor(0.6539, grad_fn=<MseLossBackward0>) tensor(0.0113, grad_fn=<MseLossBackward0>)
tensor(0.6750, grad_fn=<MseLossBackward0>) tensor(0.0105, grad_fn=<MseLossBackward0>)
tensor(0.6437, grad_fn=<MseLossBackward0>) tensor(0.0072, grad_fn=<MseLossBackward0>)
tensor(0.6248, grad_fn=<MseLossBackward0>) tensor(0.0180, grad_fn=<MseLossBackward0>)
tensor(0.6485, grad_fn=<MseLossBackward0>) tensor(0.0117, grad_fn=<MseLossBackward0>)
tensor(0.6178, grad_fn=<MseLossBackward0>) tensor(0.0079, grad_fn=<MseLossBackward0>)
tensor(0.6394, grad_fn=<MseLossBackward0>) tensor(0.0142, grad_fn=<MseLossBackward0>)
tensor(0.6296, grad_fn=<MseLossBackward0>) tensor(0.0149, grad_fn=<MseLossBackward0>)
tensor(0.6573, grad_fn=<MseLossBackward0>) tensor(0.0065, grad_fn=<MseLossBackward0>)
tensor(0.7029, grad_fn=<MseLossBackward0>) tensor(0.0061, grad_fn=<MseLossBackward0>)
tensor(0.6322, grad_fn=<MseLossBackward0>) tensor(0.0071, grad_fn=<MseLossBackward0>)
tensor(0.6423, grad_fn=<MseLossBackward0>) tensor(0.0093, grad_fn=<MseLossBackward0>)
tensor(0.6266, grad_fn=<MseLossBackward0>) tensor(0.0097, grad_fn=<MseLossBackward0>)
tensor(0.7043, grad_fn=<MseLossBackward0>) tensor(0.0076, grad_fn=<MseLossBackward0>)
tensor(0.5869, grad_fn=<MseLossBackward0>) tensor(0.0092, grad_fn=<MseLossBackward0>)
tensor(0.7093, grad_fn=<MseLossBackward0>) tensor(0.0107, grad_fn=<MseLossBackward0>)
tensor(0.6288, grad_fn=<MseLossBackward0>) tensor(0.0100, grad_fn=<MseLossBackward0>)
tensor(0.6710, grad_fn=<MseLossBackward0>) tensor(0.0104, grad_fn=<MseLossBackward0>)
tensor(0.6376, grad_fn=<MseLossBackward0>) tensor(0.0163, grad_fn=<MseLossBackward0>)
tensor(0.6898, grad_fn=<MseLossBackward0>) tensor(0.0102, grad_fn=<MseLossBackward0>)
tensor(0.6498, grad_fn=<MseLossBackward0>) tensor(0.0102, grad_fn=<MseLossBackward0>)
tensor(0.6602, grad_fn=<MseLossBackward0>) tensor(0.0089, grad_fn=<MseLossBackward0>)
tensor(0.6368, grad_fn=<MseLossBackward0>) tensor(0.0093, grad_fn=<MseLossBackward0>)
tensor(0.6548, grad_fn=<MseLossBackward0>) tensor(0.0105, grad_fn=<MseLossBackward0>)
tensor(0.6443, grad_fn=<MseLossBackward0>) tensor(0.0110, grad_fn=<MseLossBackward0>)
tensor(0.6260, grad_fn=<MseLossBackward0>) tensor(0.0163, grad_fn=<MseLossBackward0>)
tensor(0.6307, grad_fn=<MseLossBackward0>) tensor(0.0066, grad_fn=<MseLossBackward0>)
tensor(0.6656, grad_fn=<MseLossBackward0>) tensor(0.0132, grad_fn=<MseLossBackward0>)
tensor(0.6813, grad_fn=<MseLossBackward0>) tensor(0.0134, grad_fn=<MseLossBackward0>)
tensor(0.6698, grad_fn=<MseLossBackward0>) tensor(0.0081, grad_fn=<MseLossBackward0>)
tensor(0.6244, grad_fn=<MseLossBackward0>) tensor(0.0167, grad_fn=<MseLossBackward0>)
tensor(0.6479, grad_fn=<MseLossBackward0>) tensor(0.0190, grad_fn=<MseLossBackward0>)
tensor(0.6761, grad_fn=<MseLossBackward0>) tensor(0.0086, grad_fn=<MseLossBackward0>)
tensor(0.6380, grad_fn=<MseLossBackward0>) tensor(0.0150, grad_fn=<MseLossBackward0>)
tensor(0.6609, grad_fn=<MseLossBackward0>) tensor(0.0132, grad_fn=<MseLossBackward0>)
tensor(0.6628, grad_fn=<MseLossBackward0>) tensor(0.0115, grad_fn=<MseLossBackward0>)
